Model,CV_Mean,CV_Std,CV_Fold_1,CV_Fold_2,CV_Fold_3,CV_Fold_4,CV_Fold_5,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_ROC_AUC
Logistic Regression,0.6429389202283358,0.001500927086370483,0.6415570273354212,0.6417573461654512,0.6457469746728135,0.642669854421816,0.642963398546177,0.6410822980071709,0.6357218496293682,0.14046608847569725,0.23009211350018524,0.6436149195414174
ElasticNet Logistic,0.6445305455623671,0.0016116709357797728,0.6431362762202089,0.6431675853011117,0.6475399391921465,0.6441836412372574,0.6446252858611108,0.6408857547855297,0.6350432194983704,0.13981094403194608,0.22916826468257012,0.6451904965515979
Random Forest,0.8972319696599366,0.0008772003893948331,0.8979050626554881,0.8962804509881568,0.8982314194463005,0.8960871990718564,0.8976557161378805,0.7454407928434444,0.7364286188505543,0.5190771822549448,0.6089391097488449,0.8297728540260689
Extra Trees,0.8221579850027648,0.0025866550049165253,0.8234942739084765,0.8210558039313278,0.8239424117022683,0.8247006207427588,0.8175968147289929,0.6698848137604079,0.667865568318057,0.269373557122356,0.38390485188684487,0.7193274464802523
XGBoost,0.953410675527914,0.0007781398405831656,0.9533276822505545,0.9523739650453572,0.9541264113984478,0.9544348451829499,0.9527904737622611,0.8293885719050399,0.8095495810055866,0.7233262619329881,0.76401291725706,0.9102567835237918
LightGBM,0.9229305685874799,0.0012250013826152,0.9220681685500491,0.9239868168345743,0.9244517855296128,0.9230371217262645,0.9211089502968992,0.8273218901502066,0.7969154279336411,0.7350720658888126,0.7647454986571027,0.9052576862494837
CatBoost,0.9477433664379786,0.0014275186730933471,0.9457256605878577,0.9498966219282426,0.9485530014857175,0.947706208215666,0.9468353399724095,0.8324558373336828,0.8215275171144119,0.7169464029450303,0.7656823955686977,0.9135894015998992
HistGradientBoosting,0.9224515454798745,0.0007848236104578115,0.9214132932619407,0.9237328961733065,0.9222714347188246,0.9228234680438118,0.9220166352014889,0.8318126049719479,0.8015265892163621,0.7436513383665065,0.7715050935778035,0.9079527608056062
Gaussian Naive Bayes,0.5501257382272837,0.001548877413761524,0.5516134199913134,0.5490018002126553,0.5494639377785038,0.5522792956726116,0.5482702374813347,0.6272825815058785,0.5554909936083672,0.1192986834716416,0.1964148132929272,0.5503962382320519
