K,N_Features,Avg_ROC_AUC,Avg_PR_AUC,XGBoost_ROC,XGBoost_PR,LightGBM_ROC,LightGBM_PR,CatBoost_ROC,CatBoost_PR
40,40,0.9036466147368567,0.8442086191244501,0.9073320872984804,0.8583481320240469,0.9096255930751018,0.8570384735190226,0.8939821638369879,0.8172392518302807
30,30,0.9032807593248,0.843004990350077,0.9051032416262881,0.8544768616373053,0.9095226658359346,0.8556595148643878,0.8952163705121772,0.8188785945485377
60,60,0.9020897908601903,0.8423062232427817,0.9030172515779586,0.8521949311846042,0.9067896260675608,0.8549533404204174,0.8964624949350511,0.8197703981233231
100,100,0.9018217069112419,0.8424786551027381,0.9009914087269675,0.8501655200954419,0.9111102772149294,0.859704528448331,0.8933634347918286,0.8175659167644413
120,120,0.9004343261219168,0.8377371790395997,0.9046487810316489,0.8532279457062294,0.9069791976963782,0.8541538883695187,0.8896749996377232,0.8058297030430507
50,50,0.9003788234562475,0.8389636053491941,0.9037485485673844,0.8526791636711855,0.9054066970193475,0.85015999143152,0.8919812247820107,0.8140516609448769
80,80,0.9002769939735774,0.8405990592527385,0.9037178829962544,0.8523270811592398,0.9037884169883807,0.8501560375680968,0.893324681936097,0.819314059030879
20,20,0.8996360127853019,0.8389607596728702,0.9030729363639529,0.8520486411807963,0.9054239511605665,0.849802556456823,0.8904111508313862,0.8150310813809913
